name,manufacturer,guitar_type,pickup,pickup_position,strumming,player
AudioStrumming_Axtech_SC_Bridge_Open_JM_1.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_2.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_3.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_4.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_5.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_6.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_7.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_8.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_9.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_10.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_11.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_12.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_13.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_14.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_15.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_16.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_17.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_18.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_19.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_20.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_21.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_22.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_23.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_24.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_25.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_26.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_27.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_28.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_29.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_30.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_31.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_32.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_33.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_34.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_35.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_36.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_37.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_38.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_39.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Bridge_Open_JM_40.png,Axtech,SC,Single Coil,Bridge,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_1.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_2.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_3.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_4.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_5.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_6.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_7.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_8.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_9.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_10.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_11.png,Axtech,SC,Single Coil,Middle,Open,JM
AudioStrumming_Axtech_SC_Mid_Open_JM_12.png,Axtech,SC,Single Coil,Middle,Open,JM
